id,Title,Content,"Publication Authors_publication_author_name","Publication Year",DOI,"Publication URLs","RDC List_id","Book Title","BibTex Type","Journal Name",Number,"Network Ref"
19736,"Job strain and self-reported health among working women and men: An analysis of the 1994/5 Canadian National Population Health Survey",,"Selahadin A. Ibrahim,F. E. Scott,D. C. Cole,H. S. Shannon,J. Eyles",2001,,http://www.tandfonline.com/doi/abs/10.1300/J013v33n01_07,UTO,,ARTICLE,"Women and Health",2-Jan,article
19737,"Measuring differences in the effect of social resource factors on the health of elderly Canadian men and women",,"Steven G. Prus,Ellen Gee",2001,,http://socserv.mcmaster.ca/sedap/p/sedabs01.htm#abs58,MCM,,ARTICLE,"Social and Economic Dimensions of an Aging Population (SEDAP) Research Papers",58,workpaper
19738,"The usefulness of latent class models in estimating prevalence and profile of psychopathological states: An example using aggressive antisocial symptoms in young adolescents",,"Éric Lacourse",2001,,,MTL,,TECHREPORT,,,report
19739,"Can the health utilities index measure change?",,"J. A. Kopec,S. E. Schultz,V. Goel,J. I. Williams",2001,,http://journals.lww.com/lww-medicalcare/Abstract/2001/06000/Can_the_Health_Utilities_Index_Measure_Change_.5.aspx,UTO,,ARTICLE,"Medical Care",6,article
19740,"An interpretation of family change, with implications for social cohesion",,"Roderic Beaujot,Zenaida R. Ravanera",2001,,http://ir.lib.uwo.ca/pscpapers/vol15/iss1/1/,"UWO,MCM","Essays in honour of Professor P. Krishnan: Methodological and substantive",ARTICLE,"Population Studies Centre (PSC) Discussion Papers Series",1,workpaper
19741,"Integration at late life: Inclusion, participation, and belonging among the elderly",,"Zenaida R. Ravanera,Rajulton Fernando",2001,,http://ir.lib.uwo.ca/pscpapers/vol15/iss16/1/,MCM,,ARTICLE,"PSC Discussion Papers Series",16,workpaper
19742,"Temporal trends in overweight and obesity in Canada, 1981-1996",,"M. S. Tremblay,P. T. Katzmarzyk,J. D. Willms",2002,,http://www.nature.com/ijo/journal/v26/n4/full/0801923a.html,UNB,,ARTICLE,"International Journal of Obesity",4,article
19743,"Funding for postsecondary education: Results from the Youth In Transition Survey",,"Laval Lavallée,B. Pereboom,C. Grignon",2002,,,MTL,,TECHREPORT,,,report
19744,"Integration at late life: Inclusion, participation, and belonging among the elderly",,"Zenaida R. Ravanera,Rajulton Fernando",2002,,,MCM,"Demographic futures in the context of globalization: Public policy issues",INBOOK,"Demographic Futures in the Context of Globalization: Public Policy Issues",,bookchap
19745,"Union wage premium",,"Tony Fang,Anil Verma",2002,,http://www.statcan.gc.ca/pub/75-001-x/00902/4095851-eng.html,UTO,,ARTICLE,"Perspectives on Labour and Income",9,article
19746,"A repeated cross-sectional analysis of training and annual income in the 1990s: Results from the Adult Education and Training Surveys (AETS)",,"T. Gawley",2002,,http://www.statcan.gc.ca/rdc-cdr/pub_work-travail-eng.htm,SWO,,ARTICLE,"South Western Ontario RDC Research Paper Series",,workpaper
19747,"Is history destiny? Resources, transitions and child attainments in Canada",,"John Hoddinott,Lynn Lethbridge,Shelley Phipps",2002,,http://www.statcan.gc.ca/rdc-cdr/pub_education-eng.htm,DAL,,ARTICLE,"HRSDC Applied Research Branch Working Paper Series",SP-551-12-02E,workpaper
19748,"Progress against major depression in Canada",,"Scott B. Patten",2002,,https://journals.sagepub.com/doi/abs/10.1177/070674370204700810,PRC,,ARTICLE,"Canadian Journal of Psychiatry",8,article
19749,"Socioeconomic status and child health: Why is the relationship stronger for older children?",,"Janet Currie,Mark Stabile",2002,,http://www.nber.org/papers/w9098,UTO,,ARTICLE,"National Bureau of Economic Research (NBER) Working Papers",9098,workpaper
19750,"L'impact des relations industrielles sur la performance organisationnelle",,"Patrice Jalette,Jean-Guy Bergeron",2002,,http://www.erudit.org/revue/ri/2002/v57/n3/006889ar.html,MTL,,ARTICLE,"Industrial Relations / Relations industrielles",3,article
19751,"Work and life stressors and psychological distress in the Canadian working population: A structural equation modeling approach to analysis of the 1994 National Population Health Survey",,,2002,,http://www.collectionscanada.gc.ca/webarchives/20071217103421/http://www.phac-aspc.gc.ca/publicat/cdic-mcc/23-3/b_e.html,UTO,,ARTICLE,"Chronic Diseases and Injuries in Canada",3,article
19752,"The moderating effects of coping strategies on major depression in the general population",,"J. Wang,Scott B. Patten",2002,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC314383/,PRC,,ARTICLE,"Canadian Journal of Psychiatry",2,article
19753,"The effects of drug subsidies on out-of-pocket prescription drug expenditures by seniors: Regional evidence from Canada",,"Sule Alan,Thomas F. Crossley,Paul Grootendorst,Michael R. Veall",2002,,http://www.sciencedirect.com/science/article/pii/S0167629602000127,"MCM,UTO",,ARTICLE,"Journal of Health Economics",5,article
19754,"Improving the mental health of young children in Toronto: Needs assessment and literature review",,"Helen Thomas,Michael H. Boyle",2004,,http://socserv.mcmaster.ca/rdc/wptitles.htm,MCM,,ARTICLE,"McMaster RDC Research Paper",4,workpaper
19755,"Disability onset among aging Canadians: Evidence from panel data",,"Derek Hum,Wayne Simpson",2002,,http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=6649704,WIN,,ARTICLE,"Canadian Journal on Aging / La Revue canadienne du vieillissement",1,article
19756,"Prevalence of hyperactivity-impulsivity and inattention among Canadian children: Findings from the first data collection cycle (1994-1995) of the National Longitudinal Survey of Children and Youth (NLSCY)",,"Élisa Romano,Raymond H. Baillargeon,Richard E. Tremblay",2002,,,MTL,,TECHREPORT,,SP-561-01-03E,report
19757,"The dynamics of food deprivation and overall health: Evidence from the Canadian National Population Health Survey",,"Logan McLeod,Michael R. Veall",2002,,http://econpapers.repec.org/paper/mcmsedapp/86.htm,MCM,,ARTICLE,"Social and Economic Dimensions of an Aging Population (SEDAP) Research Papers",86,workpaper
19758,"A longitudinal study of the residential mobility of the elderly in Canada",,"Yuri Ostrovsky",2002,,http://socserv.mcmaster.ca/sedap/p/sedabs02.htm#abs78,MCM,,ARTICLE,"Social and Economic Dimensions of an Aging Population (SEDAP) Research Papers",78,workpaper
19759,"It's all in the past? Exploring the repercussions of parents' early conjugal and parental histories on the family life course of the children",,"Heather Juby,Nicole Marcil-Gratton",2002,,http://www.eric.ed.gov/ericwebportal/detail?accno=ed505287,MTL,,ARTICLE,"Human Resources and Skills Development Canada (HRSDC) Working Paper Series",W-01-1-13E,workpaper
19760,"Étude des risques de cancer associés à l'exposition environnementale aux pesticides en milieu rural au Québec",,"Marcellin Comlan Gangbè",2002,,http://www.geog.umontreal.ca/recherches/memoirestheses/doctorat.html,MTL,,PHDTHESIS,,,phdthesis
19761,"A quantitative evaluation of the relationship between income and self-reported health In Canada, 1996-1999",,"Simo Goshev",2002,,,MCM,,MASTERSTHESIS,,,mastersthesis
19762,"Health and use of health services of children exposed to violence in their families",,"Judee E. Onyskiw",2002,,http://www.jstor.org/stable/41993555,UNB,,ARTICLE,"Canadian Journal of Public Health",6,article
19763,"Home ownership and emotional and behavioural problems of children and youth",,"Michael H. Boyle",2002,,http://onlinelibrary.wiley.com/doi/10.1111/1467-8624.00445/abstract,MCM,,ARTICLE,"Child Development",3,article
19764,"Development of prosocial skills",,"R. Parrila,X. Ma,D. fleming,C. Rinaldi",2002,,http://www.hrsdc.gc.ca/eng/cs/sp/sdc/pkrf/publications/research/2002-001274/page00.shtml,UAB,,TECHREPORT,,,report
19765,"Physical aggression amongst toddlers: Does it run in families?",,"Raymond H. Baillargeon,Richard E. Tremblay,J. Douglas Willms",2002,,http://bit.ly/2e5x1ZN,MTL,"Vulnerable Children: Findings from Canada's National Longitudinal Survey of Children and Youth",INBOOK,,,bookchap
19766,"Family relations, low income and child outcomes: A comparison of Canadian children in intact, step- and lone-parent families",,"Don Kerr,Roderic Beaujot",2002,,http://cos.sagepub.com/content/43/2/134.short,"UWO,MCM",,ARTICLE,"International Journal of Comparative Sociology",2,article
19767,"The economic impacts of cigarette tax reductions on youth smoking in Canada",,"Diane Dupont,A. J. Ward",2002,,http://socserv.mcmaster.ca/rdc/Dupont2002.pdf,MCM,,ARTICLE,"McMaster RDC Working Paper Series",,workpaper
19768,"Selectivity and immigration in Canada",,"Derek Hum,Wayne Simpson",2002,,http://link.springer.com/article/10.1007/s12134-002-1005-8,WIN,,ARTICLE,"Journal of International Migration and Integration / Revue de l'integration et de la migration internationale",1,article
19769,"Impact evaluation of a national community-based program for at-risk children in Canada",,"Michael H. Boyle,J. D. Willms",2002,,http://economics.ca/cgi/jab?journal=cpp&article=v28n3p0461,MCM,,ARTICLE,"Canadian Public Policy",3,article
19770,"Prevalence of methylphenidate use and change over a two-year period: A nationwide study of 2- to 11-year-old Canadian children",,"Élisa Romano,Raymond H. Baillargeon,Hong Xing Wu,Philippe Robaey,Richard E. Tremblay",2002,,http://www.jpeds.com/article/s0022-3476(02)00041-0/abstract,MTL,,ARTICLE,"The Journal of Pediatrics",1,article
19771,"Child well-being in single-mother families",,"Ellen L. Lipman,Michael H. Boyle,Martin D. Dooley,David R. Offord",2002,,http://www.jaacap.com/article/S0890-8567%2809%2960591-8/abstract,MCM,,ARTICLE,"Journal of the American Academy of Child and Adolescent Psychiatry",1,article
19772,"Out-of-pocket prescription drug expenditures and public prescription drug programs",,"Sule Alan,Thomas F. Crossley,Paul Grootendorst,Michael R. Veall",2002,,http://socserv.mcmaster.ca/sedap/p/sedabs02.htm#abs88,MCM,,ARTICLE,"Social and Economic Dimensions of an Aging Population (SEDAP) Research Papers",88,workpaper
19773,"A longitudinal perspective on women's labour force transitions: Trigger events",,"Sung-Hee Jeon",2003,,https://ideas.repec.org/p/mcm/deptwp/2003-01.html,MCM,,ARTICLE,"McMaster University Department of Economics Working Paper Series",3-Jan,workpaper
19774,"Can continuing benzodiazepine use be predicted?",,"C. Ineke Neutel,Wikke Wallop,Scott B. Patten",2003,,http://www.pulsus.com/journals/abstract.jsp?sCurrPg=abstract&jnlKy=9&atlKy=4252&isuKy=633&isArt=t&fromfold=Table+Of+Contents&fold=Abstract,PRC,,ARTICLE,"Canadian Journal of Clinical Pharmacology",4,article
19775,"Three essays in empirical labour economics",,"Mikal Skuterud",2003,,,MCM,,PHDTHESIS,,,phdthesis
19776,"Natural health product use in Canada: Analysis of the National Population Health Survey",,"Sumeet Singh,Mitchell Levine",2006,,,MCM,,ARTICLE,"Canadian Journal of Clinical Pharmacology",2,article
19777,"Childhood aggression and exposure to violence in the home",,"Tina Hotton",2003,,http://www.statcan.ca/bsolc/english/bsolc?catno=85-561-mwe2003002,UTO,,ARTICLE,"Crime and Justice research paper series",2,article
19778,"Job-related training activity by immigrants to Canada",,"Derek Hum,Wayne Simpson",2003,,http://economics.ca/cgi/jab?journal=cpp&article=v29n4p0469,WIN,,ARTICLE,"Canadian Public Policy",4,article
19779,"Recherche sur l'actualisation du panier d'emplois utilisé pour établir la base de rémunération de l'exploitant agricole dans le cadre de l'application du programme d'assurance stabilisation des revenus agricoles (ASRA)",,"Pierre Lefebvre,Philip J. Merrigan",2003,,,MTL,,TECHREPORT,,,report
19780,"Impact des prestations d'aide sociale sur l'offre de travail",,"Jérôme Lapointe",2003,,"http://www.ciqss.umontreal.ca/en/publicationsslid.html (defunct)",MTL,,MASTERSTHESIS,,,mastersthesis
19781,"Health status and Canada's immigrant population",,"K. Bruce Newbold,Jeff Danforth",2003,,http://www.sciencedirect.com/science/article/pii/S0277953603000649,MCM,,ARTICLE,"Social Science and Medicine",10,article
19782,"Estimation d'un coût de stigmate relatif à l'assistance emploi au Québec",,"Ugo Ceppi",2003,,http://www.irec.net/index.jsp?p=28&f=304,MTL,,MASTERSTHESIS,,,mastersthesis
19783,"Mental health services received by depressed persons who visited general practitioners and family doctors",,"JianLi Wang,Donald B. Langille,Scott B. Patten",2003,,http://ps.psychiatryonline.org/doi/abs/10.1176/appi.ps.54.6.878,PRC,,ARTICLE,"Psychiatric Services",6,article
19784,"Gender differences in the influence of economic, lifestyle and psychosocial factors on later-life health",,"Steven G. Prus,Ellen Gee",2003,,http://journal.cpha.ca/index.php/cjph/article/view/349/349,MCM,,ARTICLE,"Canadian Journal of Public Health",4,article
19785,"Geography of literacy and disability in Canada",,"Marcia Rioux,Ezra Zubrow,Mary Stutt Bunch,Wendy Miller",2003,,,UTO,,BOOK,,,book
19786,"Empirical essays on labour supply",,"Sung-Hee Jeon",2003,,,MCM,,PHDTHESIS,,,phdthesis
19787,"Major depression in multiple sclerosis: A population-based study",,"Scott B. Patten,C. A. Beck,J. V. A. Williams,C. Barbui,L. M. Metz",2003,,http://www.neurology.org/cgi/content/abstract/61/11/1524,PRC,,ARTICLE,Neurology,11,article
19788,"Income inequality, household income, and health status in Canada: A prospective cohort study",,"Christopher B. McLeod,John N. Lavis,Cameron A. Mustard,Greg L. Stoddart",2003,,http://ajph.aphapublications.org/doi/abs/10.2105/AJPH.93.8.1287,UTO,,ARTICLE,"American Journal of Public Health",8,article
19789,"The digital divide in Canadian schools: Factors affecting student access to and use of information technology",,"E. Dianne Looker,Victor Thiessen",2003,,http://www.statcan.gc.ca/bsolc/olc-cel/olc-cel?catno=81-597-x&lang=eng,DAL,,TECHREPORT,,,report
19790,"Occupational variations in drinking and psychological distress: A multilevel analysis",,"Alain Marchand,Andrée Demers,Pierre Durand,Marcel Simard",2003,,http://content.iospress.com/articles/work/wor00316,MTL,,ARTICLE,Work,2,article
19791,"The digital divide in Canadian schools: Factors affecting student access to and use of information technology",,"E. Dianne Looker,Victor Thiessen",2003,,http://www.statcan.gc.ca/bsolc/olc-cel/olc-cel?catno=81-597-x&lang=eng,DAL,,TECHREPORT,,,report
19792,"How cohesive are Canadian CMAs? A measure of social cohesion using the National Survey of Giving, Volunteering and Participating",,"Rajulton Fernando,Zenaida R. Ravanera,Roderic Beaujot",2003,,http://ir.lib.uwo.ca/pscpapers/vol17/iss10/1,"UWO,MCM",,ARTICLE,"Population Studies Centre (PSC) Discussion Papers Series",10-Mar,workpaper
19793,"Education, training, and earnings: What are the effects of immigration and visible minority status?",,"Michael R. Smith,Yoko Yoshida",2003,,,MTL,,TECHREPORT,,,report
19794,"Is the Canadian childhood obesity epidemic related to physical inactivity?",,"M. S. Tremblay,J. D. Willms",2003,,http://www.nature.com/ijo/journal/v27/n9/abs/0802376a.html,UNB,,ARTICLE,"International Journal of Obesity",9,article
19795,"Socio-economic status and child health: Why is the relationship stronger for older children?",,"Janet Currie,Mark Stabile",2003,,https://www.aeaweb.org/articles?id=10.1257/000282803322655563,"MCM,UTO",,ARTICLE,"The American Economic Review",5,article
19796,"Age and the gender gap in distress",,"Peter McDonough,Lisa Strohschein",2003,,http://www.tandfonline.com/doi/abs/10.1300/J013v38n01_01,UTO,,ARTICLE,"Women and Health",1,article
19797,"Atlas of literacy and disability",,"Marcia Rioux,Ezra Zubrow,Mary Stutt Bunch,Wendy Miller",2003,,http://qualitymall.org/products/prod1.asp?prodid=5511,UTO,,BOOK,,,book
19798,"The impact of junior kindergarten on behaviour in elementary school children",,"Linda S. Pagani,Denis Larocque,Richard E. Tremblay,Pierre Lapointe",2003,,https://journals.sagepub.com/doi/abs/10.1080/01650250344000028,MTL,,ARTICLE,"International Journal of Behavioral Development",5,article
19799,"Être père au siècle XXIe: vers une redéfinition du rôle des hommes des auprès enfants",,"Nicole Marcil-Gratton,Céline Le Bourdais,Heather Juby",2003,,http://www.pum.umontreal.ca/catalogue/la-demographie-quebecoise,MTL,"La démographie québécoise: Enjeux du siècle XXIe",INBOOK,,,bookchap
19800,"Losing control: Homicide risk in estranged and intact intimate relationships",,"Holly Johnson,Tina Hotton",2003,,http://hsx.sagepub.com/content/7/1/58.abstract,UTO,,ARTICLE,"Homicide Studies",1,article
19801,"Arthritis in Canada: An ongoing challenge",,"Elizabeth M. Badley",2003,,http://www.acreu.ca/pub/aic.html,UTO,,TECHREPORT,,,report
19802,"Socioeconomic status and acute non-fatal injuries among Canadian adolescents",,"Beth K. Potter",2003,,,SWO,,PHDTHESIS,,,phdthesis
19803,"Measuring up: Academic performance of Canadian immigrant children in reading, mathematics and science",,"Xin Ma",2003,,http://link.springer.com/article/10.1007/s12134-003-1014-2,UAB,,ARTICLE,"Journal of International Migration and Integration / Revue de l'integration et de la migration internationale",4,article
19804,"Employment insurance and geographic mobility: Evidence from the SLID",,"Rick Audas,James T. McDonald",2003,,http://www.srdc.org/publications/Earnings-Supplement-Project-ESP--Employment-Insurance-and-Geographic-Mobility-Evidence-From-the-SLID-details.aspx,UNB,,ARTICLE,"Social Research Demonstration Corporation (SRDC) Working Paper Series",3-Mar,workpaper
19805,"Beyond the digital divide in Canadian schools: From access to competency in the use of information technology",,"E. Dianne Looker,Victor Thiessen",2003,,http://resolver.scholarsportal.info/resolve/08944393/v21i0004/475_btddics,DAL,,ARTICLE,"Social Science Computer Review",4,article
19806,"Questioning the stability of sense of coherence: The impact of socioeconomic status and working conditions in the Canadian population",,"Peter M. Smith,F. Curtis Breslin,Dorcas E. Beaton",2003,,http://link.springer.com/article/10.1007%2Fs00127-003-0654-z,UTO,,ARTICLE,"Social Psychiatry and Psychiatric Epidemiology",9,article
19807,"The moderating effect of alcohol intake on the relationship between work strains and psychological distress",,"Alain Marchand,Andrée Demers,Pierre Durand,Marcel Simard",2003,,http://www.jsad.com/doi/abs/10.15288/jsa.2003.64.419,MTL,,ARTICLE,"Journal of Studies on Alcohol and Drugs",3,article
19808,"Initiation and frequency of smoking: A group based approach",,"Stefania Maggi",2003,,http://http-server.carleton.ca/~smaggi/carl/publications_and_reports.html,BCI,,TECHREPORT,,,report
19809,"An empirical investigation of household dynamics",,"Vicky Barham,Rose Anne Devlin",2003,,http://econpapers.repec.org/paper/ottwpaper/0303e.htm,COOL,,ARTICLE,"University of Ottawa Department of Economics Working Paper Series",0303E,workpaper
19810,"Le rôle de la formation en entreprise dans l'évolution différenciée des carrières hommes/femmes: l'exemple Canadien",,"Nathalie Havet",2003,,,MTL,,TECHREPORT,,,report
19811,"Four studies of the lifecycle patterns of housing arrangements in Canada",,"Yuri Ostrovsky",2003,,,MCM,,PHDTHESIS,,,phdthesis
19812,"Yours, mine, and ours: New boundaries for the modern stepfamily.",,"Heather Juby",2003,,,MTL,,ARTICLE,"Transition Magazine",,article
19813,"Wages in Canada: SCF, SLID, LFS and the skill premium",,"A. L. Robb,L. Magee,J. B. Burbidge",2003,,http://socserv.mcmaster.ca/rdc/wpabs.htm#abs3,MCM,,ARTICLE,"McMaster RDC Research Paper",3,workpaper
19814,"Consistent low prevalence of arthritis in Quebec: Findings from a provincial variation study in Canada based on several Canadian Population Health Surveys",,"Peizhong P. Wang,Elizabeth M. Badley",2003,,http://www.jrheum.org/content/30/1/126.abstract,UTO,,ARTICLE,"Journal of Rheumatology",1,article
19815,"Notes pour une réflexion épistémologique et méthodologique",,"Coryse Ciceri,M. Potvin,P. Eid,N. Venel",2003,,,MTL,"Les enfants d'immigrants au Canada: de la définition à la mesure",INBOOK,,,bookchap
19816,"Du passé conjugal des parents au devenir familial des enfants: un exemple de la nécessité d'une approche longitudinale",,"Nicole Marcil-Gratton,Heather Juby,Céline Le Bourdais,Paul-Marie Huot",2003,,http://www.erudit.org/revue/socsoc/2003/v35/n1/008514ar.html,MTL,,ARTICLE,"Sociologie et sociétés",1,article
19817,"'Recycling': The economic implications of obtaining additional post-secondary credentials at lower or equivalent levels",,"David L. Walters",2003,,http://onlinelibrary.wiley.com/doi/10.1111/j.1755-618X.2003.tb00257.x/abstract,MCM,,ARTICLE,"Canadian Review of Sociology and Anthropology / Revue canadienne de sociologie",4,article
19818,"Labour market training of new Canadians and limitations to the intersectionality framework",,"Derek Hum,Wayne Simpson",2003,,http://go.galegroup.com/ps/anonymous?id=GALE%7CA116860851,WIN,,ARTICLE,"Canadian Ethnic Studies / Études ethniques au Canada",Fall,article
19819,"Family transition and children's health and well-being: Economic resources versus family processes",,"M. Teresa Abada",2003,,,UAB,,PHDTHESIS,,,phdthesis
19820,"Geographic and demographic variation in the obesity of Canadian children",,"J. Douglas Willms,Mark S. Tremblay,Peter T. Katzmarzyk",2003,,http://onlinelibrary.wiley.com/doi/10.1038/oby.2003.95/abstract,UNB,,ARTICLE,"Obesity Research",5,article
19821,"The relationship between post-secondary education and the labour market outcomes of recent graduates",,"David L. Walters",2003,,,MCM,,PHDTHESIS,,,phdthesis
19822,"Linking family change, parents' employment and income and children's economic well-being: A longitudinal perspective",,"Heather Juby,Céline Le Bourdais,Nicole Marcil-Gratton",2003,,,MTL,,TECHREPORT,,2003-FCY-2E,report
19823,"Incidence des changements familiaux, de la situation d'emploi et du revenu des parents sur le bien-être économique des enfants: Perspective longitudinale",,"Heather Juby,Céline Le Bourdais,Nicole Marcil-Gratton",2003,,,MTL,,TECHREPORT,,2003-FCY-2F,report
19824,"Early life transitions of Canadian youth: Effects of family transformation and community characteristics",,"Zenaida R. Ravanera,Rajulton Fernando,Thomas K. Burch",2003,,https://ejournals.library.ualberta.ca/index.php/csp/article/view/15926,"UWO,MCM",,ARTICLE,"Canadian Studies in Population",2,article
19825,"Is position in the occupational hierarchy a determinant of decline in perceived health status?",,"Cameron A. Mustard,Marian Vermeulen,John N. Lavis",2003,,http://www.sciencedirect.com/science/article/pii/s0277953603004180,UTO,,ARTICLE,"Social Science and Medicine",12,article
19826,"Parental work, child-care use and young children's cognitive outcomes",,"Lynda G. Gagné",2003,,http://publications.gc.ca/Collection/Statcan/89-594-X/89-594-XIE.html,BCI,,TECHREPORT,,,report
19827,"Les stratégies des individus et des familles qui font face au chômage: de l'assurance-chômage à l'assurance-emploi",,"Édith Martel",2003,,http://www.researchgate.net/publication/36183789_les_stratgies_des_individus_et_des_familles_qui_font_face_au_chmage_microforme___de_l%27assurance-chmage__l%27assurance-emploi_,MTL,,MASTERSTHESIS,,,mastersthesis
19828,"Arthritis in Canada: An ongoing challenge",,"Elizabeth M. Badley",2003,,http://www.acreu.ca/pub/aic.html,UTO,,TECHREPORT,,,report
19829,"The Research Data Centre Programme in Canada: A holistic approach to evidence-based research to inform public policy",,"Gustave Goldmann",2003,,http://onlinelibrary.wiley.com/wol1/doi/10.1111/j.1468-2451.2003.05503006.x/abstract,CRDCN,,ARTICLE,"International Social Science Journal",177,article
19830,"A longitudinal confirmatory factor analysis of indirect and physical aggression: Evidence of two factors over time?",,"Tracy Vaillancourt,Mara Brendgen,Michel Boivin,Richard E. Tremblay",2003,,http://onlinelibrary.wiley.com/doi/10.1046/j.1467-8624.2003.00628.x/abstract,MTL,,ARTICLE,"Child Development",6,article
19831,"Youth integration and social capital: An analysis of the Canadian General Social Surveys on Time Use",,"Zenaida R. Ravanera,Rajulton Fernando,Pierre Turcotte",2003,,http://yas.sagepub.com/content/35/2/158.short,"UWO,MCM",,ARTICLE,"Youth and Society",2,article
19832,"Declining trends in work-related morbidity and disability, 1993-1998: A comparison of survey estimates and compensation insurance claims",,"Cameron A. Mustard,Donald Cole,Harry Shannon,Jason Pole,Terry Sullivan,Richard Allingham",2003,,http://ajph.aphapublications.org/doi/abs/10.2105/AJPH.93.8.1283,UTO,,ARTICLE,"American Journal of Public Health",8,article
19833,"L'influence de sept politiques et pratiques de gestion des ressources humaines sur le taux de roulement volontaire de la main-d'oeuvre",,"Karine Larose",2003,,http://hdl.handle.net/1866/1541,MTL,,MASTERSTHESIS,,,mastersthesis
19834,"The role of the shared family context in differential parenting",,"Jennifer M. Jenkins,Jon Rasbash,Thomas G. O'Connor",2003,,http://psycnet.apa.org/journals/dev/39/1/99/,UTO,,ARTICLE,"Developmental Psychology",1,article
19835,"Family life in a changing world: The evolution of the Canadian family in a context of marital and economic instability",,"Céline Le Bourdais,Nicole Marcil-Gratton,Heather Juby",2003,,,MTL,"Work, family and health policy in Canada",INBOOK,,,bookchap
19836,"Factors influencing the impact of unemployment on mental health among young and older adults in a longitudinal, population-based study",,"F. Curtis Breslin,Cam Mustard",2003,,http://www.sjweh.fi/show_abstract.php?abstract_id=698,UTO,,ARTICLE,"Scandinavian Journal of Work, Environment and Health",1,article
19837,"Impact of chronic conditions",,"Susan E. Schultz,Jacek A. Kopec",2003,,http://www.statcan.ca/bsolc/english/bsolc?catno=82-003-x20020046596,UTO,,ARTICLE,"Health Reports / Rapports sur la santé",4,article
19838,"Differential-maternal parenting behaviour: Estimating within- and between- family effects on children",,"Michael H. Boyle,Jennifer M. Jenkins,Katholiki Georgiades,John Cairney,Eric Duku,Yvonne A. Racine",2004,,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8624.2004.00751.x/abstract,"BCI,MCM",,ARTICLE,"Child Development",5,article
